codigo_tpca,nombre,categoria_id,categoria_nombre,energia_kcal,energia_kj,agua_g,proteinas_g,grasas_totales_g,carbohidratos_totales_g,carbohidratos_disponibles_g,fibra_dietaria_g,cenizas_g,calcio_mg,fosforo_mg,zinc_mg,hierro_mg,sodio_mg,potasio_mg,vitamina_c_mg,tiamina_mg,riboflavina_mg,niacina_mg,acido_folico_ug,indice_glucemico,nivel_recomendacion,es_apto_diabeticos
A 1,"Kiwicha, achita o achis o amaranto",1,Cereales y derivados,351.0,1469.0,9.2,12.8,6.6,69.1,59.8,9.3,2.3,236.0,453.0,2.68,7.32,,,1.3,0.09,0.18,1.58,,35.0,RECOMENDADO,True
A 2,Arroz pilado o pulido cocido,1,Cereales y derivados,115.0,480.0,72.2,2.4,0.1,25.2,,,0.1,11.0,30.0,0.42,0.3,18.0,98.0,0.0,0.0,0.0,0.24,,73.0,LIMITAR,False
A 3,Arroz blanco corriente,1,Cereales y derivados,358.0,1500.0,13.4,7.8,0.7,77.6,,,0.5,6.0,134.0,1.51,1.04,19.0,148.0,0.9,0.11,0.04,2.19,,73.0,LIMITAR,False
A 4,Arroz con cáscara,1,Cereales y derivados,332.0,1388.0,11.9,5.9,2.0,75.7,71.6,4.1,4.5,40.0,185.0,0.2,,19.0,148.0,0.0,0.16,0.07,3.85,,73.0,LIMITAR,False
A 5,Avena envasada,1,Cereales y derivados,380.0,1592.0,6.1,13.7,4.7,71.3,,,4.2,51.0,713.0,3.97,3.5,2.0,211.0,0.0,0.55,0.12,1.5,,55.0,RECOMENDADO,True
A 6,"Avena, hojuela cocida",1,Cereales y derivados,54.0,224.0,87.1,1.3,0.5,10.9,,,0.2,21.0,42.0,,0.5,,,0.0,0.0,0.01,0.22,,55.0,RECOMENDADO,True
A 7,"Avena, hojuela cruda",1,Cereales y derivados,333.0,1394.0,8.8,13.3,4.0,72.2,61.6,10.6,1.7,49.0,407.0,3.97,4.1,2.0,211.0,0.0,0.15,0.09,1.0,,55.0,RECOMENDADO,True
A 8,"Cañihua, variedad amarilla",1,Cereales y derivados,381.0,1595.0,10.7,15.7,7.5,62.5,,,3.5,87.0,335.0,,10.8,,,2.2,0.62,0.51,1.2,,45.0,RECOMENDADO,True
A 9,Cañihua gris,1,Cereales y derivados,356.0,1488.0,12.4,14.0,4.5,64.0,,,5.1,110.0,375.0,,13.0,,,1.1,0.47,0.65,1.13,,45.0,RECOMENDADO,True
A 10,"Cañihua, hojuela de",1,Cereales y derivados,318.0,1331.0,11.4,14.5,8.9,61.0,45.5,15.5,4.2,141.0,320.0,4.55,17.07,,,0.0,0.67,0.3,1.45,,45.0,RECOMENDADO,True
A 11,Cañihua parda,1,Cereales y derivados,355.0,1487.0,12.2,13.8,3.5,66.2,,,4.3,171.0,496.0,,15.0,,,0.0,0.57,0.75,1.56,,45.0,RECOMENDADO,True
A 12,Cebada con cáscara,1,Cereales y derivados,284.0,1190.0,9.7,8.4,2.0,77.5,60.2,17.3,2.4,61.0,320.0,2.78,4.58,,,0.0,0.24,0.08,7.86,,28.0,RECOMENDADO,True
A 13,"Cebada, llunka de (morón americano)",1,Cereales y derivados,249.0,1041.0,18.5,1.9,0.7,77.1,59.8,17.3,1.8,42.0,283.0,2.77,9.7,,,2.1,0.25,0.18,2.25,,28.0,RECOMENDADO,True
A 14,"Cebada, mashka o machica",1,Cereales y derivados,302.0,1265.0,10.0,8.6,0.7,77.4,67.3,10.1,3.3,74.0,320.0,2.0,12.3,,,1.9,0.12,0.25,8.7,,28.0,RECOMENDADO,True
A 15,"Cebada para mote, pelada",1,Cereales y derivados,328.0,1372.0,15.4,8.2,1.1,73.3,,,2.0,47.0,202.0,,3.6,,,0.0,0.07,0.11,8.75,,28.0,RECOMENDADO,True
A 16,"Cebada tostada, harina integral",1,Cereales y derivados,274.0,1147.0,5.6,8.7,3.2,80.2,54.8,25.4,2.5,,,,9.6,,,,,,,,60.0,MODERADO,True
A 17,Cebada perlada o resbalada cocida,1,Cereales y derivados,59.0,248.0,81.0,1.0,0.1,17.7,13.9,3.8,0.2,9.0,35.0,0.82,0.9,,,0.0,0.0,0.01,0.58,,28.0,RECOMENDADO,True
